AccountCode,AccountName,PayElementName,ToolTypePayment,CabinetOfficeReturns
51114001,Allowances - Permanent UK Staff,BIS New Arrears Private Office Enhancement Allowance,Do Not Use In Forecast,N
51115001,Overtime - Permanent UK Staff,BIS Overtime Weekday 150,Do Not Use In Forecast,N
51111001,Salaries - Permanent UK Staff,BIS OMP Payment for CCVs,Basic Pay,Y
51171007,Other Allowances,BIS BNFL Payment,Do Not Use In Forecast,N
51171007,Other Allowances,BIS Pension RDA Payment,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Misc Taxable Allowance,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Typing Skills Supplement,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Mark Time Non Pen,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS DDaT Specialist Allowance,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Enhancement IT Intelligent Customer Function,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Enhancement KIM,Basic Pay,Y
51114001,Allowances - Permanent UK Staff,BIS Arrears Enhancement Communications,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Special Allowance,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Personal Pay Addition,Basic Pay,Y
51111001,Salaries - Permanent UK Staff,BIS Non Consolidated Perf Non Pens,Do Not Use In Forecast,N
51114001,Allowances - Permanent UK Staff,BIS Basic Pay Pen,Basic Pay,Y
